property_owner,property_manager,signed_date,expiration_date,details,payment_amount
eaa5f156-8a7e-4f12-9b6c-050f7369e93c,f9a88fd7-8341-4355-a460-bbc0e79cb104,2019-04-01,2020-04-01,"",400
8bc72926-b130-4a23-9416-a1a188ab546d,f9a88fd7-8341-4355-a460-bbc0e79cb104,2019-04-01,2020-04-01,"",200
5cc6c450-e26e-4829-9712-c62fa7844d80,f9a88fd7-8341-4355-a460-bbc0e79cb104,2019-04-01,2020-04-01,"",600
055c804c-c9e6-4759-aa74-5b547a3bff95,f9a88fd7-8341-4355-a460-bbc0e79cb104,2019-04-01,2020-04-01,"",200
87fd1763-38eb-4b59-a0ae-65e9a4daaf10,f9a88fd7-8341-4355-a460-bbc0e79cb104,2019-04-01,2020-04-01,"",200
e08e36a5-ab2e-4b6c-873d-4c384bb78b83,f9a88fd7-8341-4355-a460-bbc0e79cb104,2019-04-01,2020-04-01,"",400
3c017815-814e-439e-ae14-3de4e263abe8,f9a88fd7-8341-4355-a460-bbc0e79cb104,2019-04-01,2020-04-01,"",200
709fd42d-560f-4557-9bc9-608a8f508166,f9a88fd7-8341-4355-a460-bbc0e79cb104,2019-04-01,2020-04-01,"",200
17b56085-c090-4755-8f54-9d6dbeae1f46,f9a88fd7-8341-4355-a460-bbc0e79cb104,2019-04-01,2020-04-01,"",400
e5d57f8a-7fae-41ca-bc97-89d8e8be9522,f9a88fd7-8341-4355-a460-bbc0e79cb104,2019-04-01,2020-04-01,"",200
323f586b-b1d8-4926-a65d-9b9c4e7b6194,f9a88fd7-8341-4355-a460-bbc0e79cb104,2019-04-01,2020-04-01,"",200
a1342590-6d8b-411d-9a25-e5d65a0d94b1,f9a88fd7-8341-4355-a460-bbc0e79cb104,2019-04-01,2020-04-01,"",400
081e3bb5-5491-47c0-b445-65ffd64d7f60,f9a88fd7-8341-4355-a460-bbc0e79cb104,2019-04-01,2020-04-01,"",200
c1fb3de0-8709-42f8-9802-4db45549f843,f9a88fd7-8341-4355-a460-bbc0e79cb104,2019-04-01,2020-04-01,"",200
57189b7d-ef51-49c5-9ed2-9c1f8ec20b23,f9a88fd7-8341-4355-a460-bbc0e79cb104,2019-04-01,2020-04-01,"",200
